Score,Computation Time,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
100.0,1772057061.1971257,100,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
98.0,1772057060.8644347,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
98.0,1772057061.083925,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
98.0,1772057061.3065672,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
98.0,1772057061.5281336,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
98.0,1772057061.8069313,50,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
98.0,1772057062.1686068,75,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
98.0,1772057062.6326985,100,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
93.0,1772057060.980185,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057061.1131797,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057061.2933156,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057061.4534795,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057061.6609035,50,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057061.927061,75,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057062.2494452,100,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
91.0,1772057061.5096133,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,1772057061.7395072,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,1772057062.0181587,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,1772057062.3282373,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,1772057062.6654167,50,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,1772057063.045798,75,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,1772057063.5008109,100,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
83.0,1772057062.333384,10,knn,None-None,<class 'QueryModels.RandomSampling'>,euclidean
100.0,1772057062.3570695,20,knn,None-None,<class 'QueryModels.RandomSampling'>,euclidean
100.0,1772057062.3819013,30,knn,None-None,<class 'QueryModels.RandomSampling'>,euclidean
100.0,1772057062.3994987,40,knn,None-None,<class 'QueryModels.RandomSampling'>,euclidean
100.0,1772057062.413405,50,knn,None-None,<class 'QueryModels.RandomSampling'>,euclidean
100.0,1772057062.4270704,75,knn,None-None,<class 'QueryModels.RandomSampling'>,euclidean
100.0,1772057062.4445002,100,knn,None-None,<class 'QueryModels.RandomSampling'>,euclidean
73.0,1772057062.5964718,10,knn,None-None,<class 'QueryModels.RandomSampling'>,2fermat
72.0,1772057062.7183335,20,knn,None-None,<class 'QueryModels.RandomSampling'>,2fermat
93.0,1772057062.8325627,30,knn,None-None,<class 'QueryModels.RandomSampling'>,2fermat
96.0,1772057062.9539433,40,knn,None-None,<class 'QueryModels.RandomSampling'>,2fermat
98.0,1772057063.0736678,50,knn,None-None,<class 'QueryModels.RandomSampling'>,2fermat
99.0,1772057063.201204,75,knn,None-None,<class 'QueryModels.RandomSampling'>,2fermat
98.0,1772057063.331044,100,knn,None-None,<class 'QueryModels.RandomSampling'>,2fermat
94.0,1772057062.6581905,10,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
95.0,1772057062.8201427,20,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
98.0,1772057063.0146277,30,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057063.26714,40,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057063.579786,50,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057063.9801345,75,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057064.522227,100,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057062.8950043,10,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,1772057063.1210232,20,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,1772057063.4164917,30,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,1772057063.7521746,40,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,1772057064.1398554,50,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,1772057064.6500323,75,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
100.0,1772057065.2256129,100,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
91.0,1772057063.5241506,10,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
91.0,1772057063.6833415,20,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057063.8822887,30,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057064.1456864,40,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057064.45062,50,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057064.8517075,75,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057065.326619,100,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
73.0,1772057063.7767828,10,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
88.0,1772057064.03601,20,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
93.0,1772057064.3556788,30,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
93.0,1772057064.7121105,40,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
93.0,1772057065.0618818,50,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
99.0,1772057065.5354145,75,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
99.0,1772057066.0935242,100,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
94.0,1772057063.686451,10,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
98.0,1772057063.6981804,20,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
100.0,1772057063.7171822,30,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
100.0,1772057063.733293,40,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
100.0,1772057063.7567015,50,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
100.0,1772057063.7765126,75,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
100.0,1772057063.794031,100,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
60.0,1772057063.9118075,10,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
78.0,1772057064.0252104,20,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
91.0,1772057064.1526134,30,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
91.0,1772057064.2670681,40,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
98.0,1772057064.3938942,50,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
100.0,1772057064.5145905,75,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
100.0,1772057064.644719,100,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
76.0,1772057065.6533952,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
95.0,1772057065.6657174,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057065.6801257,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057065.6944296,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057065.7073746,50,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057065.722668,75,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1772057065.7352378,100,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
99.0,1772057065.854201,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
99.0,1772057065.9649162,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
99.0,1772057066.073178,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
99.0,1772057066.1798441,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
99.0,1772057066.2840042,50,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
99.0,1772057066.3978891,75,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
99.0,1772057066.5062094,100,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
56.0,1772057066.2594395,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
56.0,1772057066.2735145,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
56.0,1772057066.2876718,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
56.0,1772057066.2980428,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
56.0,1772057066.3077514,50,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
56.0,1772057066.318349,75,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
56.0,1772057066.3292706,100,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
55.0,1772057066.5218937,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
55.0,1772057066.6283407,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
55.0,1772057066.7401946,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
55.0,1772057066.8508477,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
55.0,1772057066.9658296,50,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
55.0,1772057067.08081,75,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
55.0,1772057067.1792986,100,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
86.0,1772057065.5683374,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
94.0,1772057065.591964,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
94.0,1772057065.6151981,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
97.0,1772057065.6392503,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
98.0,1772057065.6617398,50,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
96.0,1772057065.6828783,75,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
98.0,1772057065.700261,100,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
95.0,1772057065.9293897,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
98.0,1772057066.0403392,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
98.0,1772057066.1577053,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
98.0,1772057066.2722669,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
98.0,1772057066.3828242,50,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
98.0,1772057066.4895277,75,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
98.0,1772057066.6163614,100,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
90.0,1772057065.9194145,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
91.0,1772057066.0068028,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
93.0,1772057066.1249409,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
96.0,1772057066.2486587,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
98.0,1772057066.39472,50,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
98.0,1772057066.5978694,75,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
98.0,1772057066.870433,100,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
97.0,1772057066.2907858,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
98.0,1772057066.4522753,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
98.0,1772057066.641235,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
98.0,1772057066.8522415,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
98.0,1772057067.060629,50,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
98.0,1772057067.3489,75,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
98.0,1772057067.6300116,100,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
